t_s,requests,p50_us,p95_us,p99_us,max_us
-0.9,5605,112.4,256.0,397.4,949.6
-0.8,8698,110.3,235.6,341.6,1512.0
-0.7,8930,107.2,238.1,320.0,1334.4
-0.6,9465,105.0,214.4,305.6,826.3
-0.5,9754,103.6,199.9,273.8,501.8
-0.4,9708,105.1,196.2,277.0,628.8
-0.3,10089,100.8,191.2,270.1,591.5
-0.2,9824,103.4,200.5,273.4,647.6
-0.1,9809,102.4,203.5,271.0,583.9
0.0,19728,101.4,203.1,284.5,712.3
0.1,9472,107.0,203.7,289.0,578.9
0.2,9809,101.0,207.5,295.0,756.7
0.3,9577,103.8,210.4,299.4,641.3
0.4,8775,112.0,240.1,342.7,637.3
0.5,9366,103.9,225.4,305.1,642.9
0.6,9416,104.0,220.1,312.3,756.3
0.7,9079,109.6,221.9,309.9,763.4
0.8,9246,106.6,221.5,314.2,749.2
0.9,9785,99.8,214.9,306.7,681.0
1.0,9707,100.5,214.1,297.8,724.6
1.1,9153,106.5,231.5,332.6,720.9
1.2,9154,108.8,215.3,308.3,723.1
1.3,9194,109.6,214.8,309.1,809.2
1.4,9641,103.7,213.5,296.3,830.3
1.5,9608,102.7,213.0,301.4,808.7
1.6,10080,97.4,204.2,292.9,686.3
1.7,9608,104.4,205.9,286.6,607.1
1.8,9617,103.2,213.7,294.7,589.9
1.9,9446,104.9,217.4,294.5,594.1
2.0,9259,108.7,212.2,301.1,802.4
2.1,9156,108.7,220.0,315.1,741.3
2.2,9526,105.3,206.1,283.8,798.7
2.3,9320,106.5,215.2,316.3,829.0
2.4,9088,109.8,219.4,296.3,657.4
2.5,9033,110.6,223.9,298.8,532.9
2.6,9435,107.0,203.7,292.6,506.3
2.7,9205,110.7,209.6,293.4,513.2
2.8,9310,107.8,214.5,287.7,644.9
2.9,9506,106.6,206.0,275.4,861.9
3.0,9142,110.1,214.1,313.2,1847.2
3.1,9224,109.9,208.8,300.4,570.3
3.2,8902,113.0,222.2,310.2,989.5
3.3,9297,107.9,213.1,304.4,1439.2
3.4,9350,107.9,207.8,286.1,1145.7
3.5,9164,110.2,212.3,294.7,668.3
3.6,9185,110.7,210.5,285.0,760.0
3.7,9343,107.1,214.4,299.0,698.9
3.8,9663,104.2,201.7,276.0,805.9
3.9,9015,112.6,214.0,292.1,624.4
4.0,8689,116.3,226.8,318.9,751.0
4.1,8221,121.9,240.3,358.7,901.2
4.2,8971,112.7,217.5,292.7,600.0
4.3,8865,113.6,221.3,321.5,880.6
4.4,8708,114.6,230.5,326.7,583.1
4.5,9204,108.1,219.4,307.8,711.3
4.6,9507,105.6,212.8,296.6,535.6
4.7,9446,105.4,215.9,295.6,827.0
4.8,9525,103.3,215.9,300.0,948.9
4.9,9646,103.2,214.4,300.2,587.4
5.0,9690,102.8,212.7,292.1,692.4
5.1,9947,99.7,208.2,292.3,539.0
5.2,9298,106.0,221.7,328.7,699.5
5.3,9629,102.6,213.0,290.5,747.5
5.4,9527,105.0,211.9,306.2,620.4
5.5,9329,107.0,217.2,311.5,768.6
5.6,9595,104.4,208.6,295.0,858.9
5.7,9766,102.4,204.8,285.8,591.1
5.8,9582,102.7,217.6,312.4,658.9
5.9,9641,102.2,214.6,294.4,623.0
6.0,9600,103.4,215.2,301.2,839.3
6.1,9655,102.8,210.2,289.2,773.6
6.2,9346,107.2,210.9,294.0,580.4
6.3,9851,98.4,214.5,314.2,772.0
6.4,9377,106.1,216.3,300.3,680.7
6.5,9395,105.3,220.3,305.7,740.1
6.6,9474,105.1,209.2,297.3,715.2
6.7,9875,102.2,199.2,269.8,890.3
6.8,9081,110.2,218.0,305.8,643.3
6.9,9311,106.6,217.5,304.3,682.5
7.0,9797,99.7,212.3,301.9,2049.8
7.1,9265,107.1,219.3,309.0,607.6
7.2,9852,100.8,205.6,283.8,553.1
7.3,9638,102.0,210.5,294.5,689.3
7.4,9550,103.0,214.1,304.3,611.9
7.5,9832,101.1,206.8,281.1,964.6
7.6,9607,103.3,214.5,299.0,875.7
7.7,9479,104.3,218.8,306.5,804.8
7.8,8960,109.7,228.5,333.4,877.0
7.9,8925,109.5,231.6,331.9,958.5
8.0,8972,109.7,227.2,334.3,718.7
8.1,8711,113.6,232.7,341.4,1085.7
8.2,8457,114.0,256.1,363.5,790.4
8.3,9182,107.9,220.4,313.8,826.3
8.4,9624,103.3,209.5,292.9,640.3
8.5,9600,101.5,218.3,308.0,723.4
8.6,9699,102.5,211.0,300.2,634.4
8.7,9599,101.1,225.7,322.2,585.9
8.8,9021,110.9,216.8,302.4,588.5
8.9,9286,104.1,225.6,340.4,781.8
9.0,9957,98.4,206.9,288.4,643.1
9.1,9931,98.7,209.0,297.3,1887.4
9.2,9799,100.7,209.2,285.4,579.1
9.3,9258,106.6,222.2,307.8,672.8
9.4,8818,109.2,248.9,366.9,767.6
9.5,9152,108.1,219.3,312.5,763.7
9.6,9709,102.3,205.8,286.3,706.7
9.7,9863,99.5,210.8,287.1,1087.0
9.8,9616,102.0,217.3,290.4,732.7
9.9,9756,101.8,209.5,294.5,825.8
10.0,9689,102.7,210.9,298.2,630.0
10.1,9785,102.4,203.9,283.0,581.0
10.2,9695,100.7,215.3,305.3,1022.7
10.3,9631,102.5,214.5,303.2,760.4
10.4,9584,103.3,216.5,300.6,763.9
10.5,9927,98.4,213.8,299.9,1234.5
10.6,9672,101.4,212.5,304.2,747.8
10.7,10142,99.0,196.3,263.0,865.9
10.8,10244,97.4,192.0,268.9,602.8
10.9,9540,102.8,211.1,306.9,1203.1
11.0,9979,98.8,208.1,294.6,648.6
11.1,10176,97.6,199.3,262.7,542.0
11.2,10110,97.4,204.5,297.6,672.0
11.3,10019,99.3,207.0,294.4,616.7
11.4,9876,100.4,207.0,284.9,649.9
11.5,9652,104.1,203.8,296.2,667.8
11.6,9692,100.9,213.4,297.5,638.1
11.7,10171,97.8,197.4,282.8,682.7
11.8,9991,98.2,207.9,286.8,1201.5
11.9,10119,96.9,203.4,294.1,1577.1
12.0,9595,103.2,213.1,297.8,1348.4
12.1,9627,101.4,217.3,313.2,645.9
12.2,9699,101.2,213.0,304.7,1302.6
12.3,9901,100.0,205.8,290.8,692.7
12.4,9508,104.2,211.0,305.8,795.8
12.5,9308,106.0,221.1,311.2,1143.0
12.6,9784,100.0,213.0,294.6,719.5
12.7,9567,103.4,212.9,296.8,976.6
12.8,9454,105.5,212.6,311.2,706.1
12.9,9914,100.8,202.5,283.4,550.8
13.0,9296,107.2,220.0,313.4,612.2
13.1,9588,104.3,207.7,287.2,518.6
13.2,9622,102.7,218.8,293.4,770.6
13.3,9925,98.6,209.6,306.9,659.4
13.4,9598,104.6,214.0,300.1,946.6
13.5,9909,100.1,205.0,287.1,711.3
13.6,9889,99.1,209.9,287.6,1305.6
13.7,9878,101.0,205.0,284.8,619.7
13.8,9546,103.6,215.8,304.5,642.3
13.9,9793,102.2,203.7,286.9,592.4
14.0,9721,99.5,214.8,308.6,785.3
14.1,9093,109.9,216.9,309.3,842.8
14.2,9179,107.6,223.9,306.8,611.4
14.3,9072,109.8,220.3,319.7,792.4
14.4,9443,104.3,217.1,306.0,1052.7
14.5,9417,104.8,215.3,307.9,754.0
14.6,9643,103.5,206.8,286.8,657.6
14.7,9924,98.8,209.5,290.6,602.9
14.8,9682,103.0,209.2,290.1,577.8
14.9,9404,106.5,213.6,295.2,670.9
15.0,9518,101.7,220.8,330.1,629.2
15.1,9914,99.2,209.0,289.9,600.0
15.2,9810,99.7,212.0,279.4,2124.5
15.3,9531,103.1,219.4,313.2,615.6
15.4,9493,103.1,222.3,309.4,749.6
15.5,9312,106.8,218.2,315.0,828.1
15.6,9759,102.6,206.3,286.7,735.5
15.7,9783,100.0,212.1,296.9,645.3
15.8,9779,100.1,215.8,296.9,610.0
15.9,9550,103.1,217.2,310.6,869.3
16.0,9465,101.9,226.5,336.2,858.8
16.1,9606,100.4,224.6,322.7,674.7
16.2,9396,105.2,215.4,310.4,796.3
16.3,9951,99.1,207.8,292.3,565.9
16.4,9126,109.2,225.7,317.3,614.7
16.5,9067,108.8,225.2,331.7,733.3
16.6,9489,104.2,218.2,306.5,844.3
16.7,9313,105.2,223.4,319.4,735.9
16.8,9260,106.8,223.3,309.8,631.2
16.9,9916,99.7,208.8,305.2,982.6
17.0,9382,105.4,216.5,304.0,755.7
17.1,9767,99.9,211.2,295.1,842.9
17.2,9658,101.0,216.9,309.2,704.3
17.3,9505,102.5,222.0,315.8,855.4
17.4,9461,104.2,216.2,309.6,700.2
17.5,9038,107.9,231.0,318.8,588.3
17.6,9707,102.2,207.1,294.6,815.1
17.7,9576,102.4,221.2,316.5,626.5
17.8,10118,98.1,202.3,276.5,636.6
17.9,9746,99.7,218.8,306.6,695.2
18.0,9875,100.4,202.9,283.2,718.8
18.1,9152,108.6,214.7,305.5,1305.2
18.2,8960,109.3,236.3,328.1,610.2
18.3,9499,103.0,225.0,314.6,903.1
18.4,9870,100.7,209.3,285.0,1521.0
18.5,9833,101.7,205.5,288.4,628.8
18.6,10091,97.7,205.5,278.4,619.1
18.7,9635,105.5,200.5,272.4,559.6
18.8,9387,104.7,226.2,326.9,690.2
18.9,9509,104.9,209.9,279.7,674.6
19.0,9372,103.8,222.9,311.5,1521.8
19.1,8789,111.1,239.2,358.0,662.4
19.2,9003,110.0,230.1,320.6,1569.2
19.3,9355,104.9,217.6,317.6,831.3
19.4,9490,104.1,212.3,299.7,599.7
19.5,9707,100.6,216.1,315.2,891.9
19.6,9790,99.9,214.7,298.3,592.9
19.7,9560,103.0,216.0,304.6,645.8
19.8,8834,110.7,233.0,339.2,723.9
19.9,9661,102.0,215.5,294.4,653.7
20.0,9224,107.9,217.7,306.2,930.4
20.1,9675,102.8,212.8,294.3,697.5
20.2,9674,101.8,213.1,304.2,740.3
20.3,9651,102.2,213.8,297.8,666.5
20.4,9671,101.6,211.1,308.4,699.9
20.5,9633,103.3,208.0,311.1,781.5
20.6,9734,99.0,220.0,316.0,797.5
20.7,10143,96.6,205.8,277.8,787.3
20.8,9792,99.7,213.3,305.3,833.3
20.9,9278,105.3,226.0,318.7,752.6
21.0,9430,103.0,224.3,328.0,767.7
21.1,9506,102.7,226.5,317.0,924.2
21.2,9552,105.3,210.0,302.8,943.3
21.3,9233,105.9,225.9,329.9,705.9
21.4,9714,101.3,212.9,301.4,622.3
21.5,9488,103.7,219.3,320.7,548.5
21.6,9309,108.7,210.4,297.4,622.7
21.7,9755,102.1,208.5,289.1,616.0
21.8,9923,100.5,203.0,283.8,674.3
21.9,9500,104.4,215.2,293.3,683.0
22.0,9614,103.3,211.7,299.7,630.2
22.1,9575,103.5,214.8,296.1,1194.8
22.2,10073,99.1,200.4,278.3,599.6
22.3,9912,100.5,207.2,288.4,1050.0
22.4,9769,101.7,210.0,295.4,544.4
22.5,9731,101.5,211.2,289.4,820.8
22.6,9801,100.0,218.0,294.2,680.1
22.7,9963,99.6,206.0,277.4,492.5
22.8,9595,104.3,208.0,289.1,845.7
22.9,9682,101.3,216.7,303.6,855.4
23.0,9146,109.2,217.0,303.3,580.6
23.1,9163,106.5,232.1,324.0,784.0
23.2,9665,104.3,204.4,280.3,564.5
23.3,9533,102.6,219.9,307.2,873.4
23.4,9962,98.8,207.5,289.9,532.0
23.5,9775,101.3,208.5,296.2,710.2
23.6,9524,104.4,210.5,304.9,678.5
23.7,9494,102.9,219.3,305.2,568.0
23.8,9428,107.1,207.3,286.3,797.5
23.9,9610,103.9,208.9,297.0,573.9
24.0,9978,99.6,206.0,279.4,646.9
24.1,9250,109.4,209.8,291.2,792.9
24.2,9701,102.5,214.4,298.4,877.7
24.3,9474,104.4,216.1,307.3,978.0
24.4,9568,101.5,224.1,312.1,1163.8
24.5,9509,103.3,219.6,318.1,922.6
24.6,9189,108.5,221.9,312.0,1070.5
24.7,9210,107.9,223.0,303.8,664.7
24.8,8972,108.2,240.3,356.8,734.1
24.9,9220,105.7,228.4,324.6,1037.1
25.0,9873,100.5,208.2,286.0,647.5
25.1,9937,99.3,206.7,292.7,603.1
25.2,10001,99.1,201.1,275.9,570.5
25.3,9744,101.9,208.7,283.7,576.9
25.4,9819,101.8,207.9,285.8,841.7
25.5,9646,101.8,212.9,307.1,1060.6
25.6,9713,102.7,209.8,298.8,559.5
25.7,9840,101.2,203.8,278.8,636.9
25.8,9199,106.6,221.7,319.1,795.7
25.9,9113,106.9,231.1,348.1,796.9
26.0,9010,110.4,224.5,319.3,801.4
26.1,8976,107.5,238.0,341.1,877.0
26.2,8491,116.4,239.9,331.0,873.6
26.3,8207,118.6,254.8,369.0,1440.9
26.4,9494,102.4,217.0,316.2,672.9
26.5,9164,108.0,222.4,314.0,667.9
26.6,8671,113.9,235.6,330.7,816.1
26.7,9414,105.0,219.7,298.6,904.8
26.8,9701,102.0,212.0,296.1,811.2
26.9,9268,107.4,218.5,326.2,581.2
27.0,9379,104.8,224.8,309.9,811.7
27.1,9249,106.4,226.7,322.5,546.0
27.2,9318,106.6,218.4,300.6,990.4
27.3,9368,106.4,215.5,296.7,552.4
27.4,9352,105.2,221.3,313.4,998.9
27.5,8614,115.3,235.9,329.8,725.6
27.6,9589,102.5,217.5,321.3,733.4
27.7,9913,99.9,202.1,283.5,791.4
27.8,9778,101.0,208.6,303.8,791.6
27.9,9579,102.5,214.3,299.0,766.6
28.0,9803,101.2,208.2,282.6,614.7
28.1,9277,104.8,227.3,328.0,1207.0
28.2,8877,111.3,230.9,328.0,944.6
28.3,9339,103.7,228.3,310.9,626.6
28.4,9770,101.4,214.0,295.8,652.8
28.5,9490,103.5,220.4,308.9,743.0
28.6,9642,101.5,216.7,313.5,627.5
28.7,9912,98.2,212.5,300.4,820.2
28.8,9714,101.8,209.6,302.2,711.3
28.9,9053,107.1,234.0,335.1,1110.9
29.0,9573,102.1,216.8,311.6,770.3
29.1,9412,105.4,213.3,299.1,622.5
29.2,9816,99.8,209.9,302.2,572.5
29.3,9448,104.9,214.7,299.9,706.5
29.4,9214,103.7,224.7,310.7,644.3
29.5,9239,105.7,225.8,327.1,889.2
29.6,9056,107.7,232.5,337.3,693.6
29.7,9321,107.0,209.9,286.6,625.2
29.8,9349,104.7,220.4,318.9,638.8
29.9,9464,103.3,221.8,312.9,648.1
30.0,9295,107.0,215.0,301.1,693.4
30.1,9524,104.9,208.3,292.3,665.7
30.2,9522,104.0,212.6,292.9,710.5
30.3,9166,109.2,215.7,299.2,625.1
30.4,9113,108.3,226.6,330.4,589.5
30.5,9006,110.0,225.9,311.5,576.7
30.6,9129,106.6,232.3,328.8,684.3
30.7,9646,100.9,217.7,309.2,572.0
30.8,9584,103.2,214.8,293.7,1211.8
30.9,8954,112.8,219.2,301.6,765.9
31.0,8964,109.8,230.7,320.5,572.6
31.1,9287,107.5,213.4,305.6,577.3
31.2,9386,103.7,223.7,326.5,889.1
31.3,10004,98.4,205.0,286.7,887.1
31.4,9587,103.9,208.6,296.6,897.4
31.5,9561,102.3,217.4,307.5,563.8
31.6,9580,103.2,212.1,296.2,670.9
31.7,9833,101.3,206.8,289.4,609.6
31.8,9527,105.2,209.3,301.1,658.6
31.9,9495,104.0,215.9,309.5,705.1
32.0,9244,106.4,227.2,318.4,649.5
32.1,9331,106.3,219.9,305.8,527.9
32.2,9075,107.2,231.9,331.0,2029.4
32.3,9141,108.0,224.2,328.4,821.7
32.4,9421,102.5,224.9,317.1,605.2
32.5,9393,106.0,209.5,288.5,616.0
32.6,8534,113.0,254.3,352.4,694.5
32.7,8429,114.8,254.8,352.4,643.4
32.8,8405,115.6,251.3,367.0,979.2
32.9,8477,114.9,246.3,353.6,749.5
33.0,8742,110.6,245.3,353.7,772.5
33.1,8976,110.7,225.7,319.7,660.6
33.2,9062,105.4,238.7,342.5,809.7
33.3,8990,107.2,236.9,338.9,880.7
33.4,9035,108.7,228.8,326.9,994.5
33.5,8945,110.4,230.3,326.2,816.3
33.6,8234,120.5,242.0,339.9,826.7
33.7,9126,107.4,228.9,314.3,876.9
33.8,9216,106.8,223.1,313.8,644.4
33.9,9333,105.4,215.7,322.8,875.8
34.0,9162,105.9,228.6,343.7,657.7
34.1,9298,104.8,227.4,321.0,644.6
34.2,9853,100.1,211.5,293.1,627.0
34.3,9570,104.0,213.0,293.9,671.1
34.4,9780,100.8,213.1,306.5,677.0
34.5,9732,102.4,206.7,281.3,642.9
34.6,9434,103.3,217.1,315.1,800.5
34.7,9375,104.5,223.4,307.2,691.5
34.8,9483,104.5,214.9,304.6,679.4
34.9,9491,104.0,218.8,298.0,592.4
35.0,9378,105.4,213.9,304.4,793.7
35.1,9313,106.9,216.4,304.2,822.1
35.2,9377,105.5,219.2,305.2,1047.9
35.3,9602,101.0,220.5,315.3,825.6
35.4,9792,100.1,210.8,294.0,902.7
35.5,9826,101.8,199.4,272.3,545.3
35.6,9413,102.8,227.5,323.6,738.1
35.7,9339,105.6,225.1,318.7,550.9
35.8,9123,108.2,223.7,318.6,661.0
35.9,9467,104.3,214.3,309.3,546.4
36.0,9622,101.2,218.5,315.4,559.7
36.1,9624,102.0,217.0,307.2,727.1
36.2,8956,110.2,224.6,315.1,818.7
36.3,9065,109.9,222.4,308.0,669.5
36.4,9186,107.8,226.3,316.4,601.4
36.5,9680,102.2,209.6,303.2,1042.7
36.6,9385,105.9,213.7,298.8,656.2
36.7,9539,106.0,205.4,285.1,563.9
36.8,9472,105.8,206.8,291.1,519.4
36.9,9655,102.4,213.4,298.9,829.0
37.0,9666,102.8,210.0,293.9,911.3
37.1,9754,103.5,200.1,278.6,639.8
37.2,9164,109.9,213.6,290.0,1195.0
37.3,9651,102.1,214.2,292.6,746.3
37.4,9644,100.5,215.7,307.0,656.5
37.5,9366,105.5,216.6,293.4,657.2
37.6,9503,104.9,209.1,288.8,789.2
37.7,9457,105.0,213.2,294.6,578.5
37.8,9684,102.1,208.8,299.0,573.4
37.9,9489,104.0,216.0,304.8,704.2
38.0,9779,101.6,205.6,282.5,705.5
38.1,9972,98.4,207.5,296.7,525.8
38.2,9394,104.8,213.7,304.3,1247.2
38.3,8582,114.5,235.0,329.8,944.2
38.4,8692,113.8,231.1,327.6,878.1
38.5,9167,107.7,221.2,315.1,691.2
38.6,9084,108.5,226.3,322.5,788.0
38.7,8766,112.1,236.1,339.6,987.6
38.8,9345,106.1,215.3,300.2,577.0
38.9,8914,111.4,224.8,322.6,658.6
39.0,8983,109.2,230.1,324.4,778.0
39.1,9807,99.6,212.0,293.0,953.8
39.2,9642,105.3,199.9,280.4,783.7
39.3,9395,105.5,214.1,315.6,751.9
39.4,9773,101.4,206.4,294.6,556.4
39.5,9294,107.4,217.2,308.6,864.0
39.6,9347,106.0,221.9,321.3,750.5
39.7,9191,110.8,209.4,284.5,703.1
39.8,9881,99.4,211.9,296.4,507.0
39.9,9919,99.7,208.5,289.3,767.3
40.0,9844,101.9,205.4,293.6,658.5
40.1,9873,100.1,209.4,294.8,659.4
40.2,9573,101.0,225.5,314.5,750.4
40.3,8934,111.2,223.4,327.0,995.7
40.4,9371,104.9,224.2,340.4,742.9
40.5,9654,104.4,202.8,283.8,806.3
40.6,9638,101.6,221.0,305.5,496.7
40.7,9766,101.5,207.7,286.5,875.4
40.8,9140,108.1,221.5,327.9,741.7
40.9,9177,106.6,225.5,335.6,621.2
41.0,8821,110.3,238.0,341.2,989.9
41.1,9571,104.8,207.3,299.7,689.8
41.2,9670,102.3,207.5,292.6,1558.1
41.3,9510,104.8,210.8,306.9,563.2
41.4,9069,109.2,227.7,319.7,712.0
41.5,9965,100.1,199.9,275.4,659.4
41.6,9862,101.1,205.0,281.7,622.9
41.7,9644,102.6,212.2,299.9,632.5
41.8,9477,104.1,212.4,298.4,672.8
41.9,9376,106.4,216.0,292.1,710.3
42.0,9733,100.7,211.1,294.3,663.7
42.1,9414,106.7,209.4,291.2,632.4
42.2,9427,105.8,212.8,295.5,624.5
42.3,9276,107.4,219.4,314.2,725.4
42.4,9423,105.0,214.6,310.3,1514.2
42.5,9698,101.7,212.4,289.5,565.7
42.6,9696,100.7,217.1,305.8,699.4
42.7,9146,110.2,213.1,287.7,1122.4
42.8,9361,107.8,212.5,291.0,662.0
42.9,9333,106.6,216.2,300.8,646.0
43.0,9516,105.0,210.2,303.6,1123.6
43.1,8663,114.8,232.5,343.4,688.6
43.2,9589,103.5,211.7,286.0,601.8
43.3,9050,110.5,219.4,310.2,777.2
43.4,9070,109.4,221.5,320.8,598.0
43.5,9391,106.2,210.1,296.1,564.0
43.6,9460,105.6,208.8,300.6,674.5
43.7,9729,101.5,212.3,286.6,804.5
43.8,9580,104.0,213.4,295.6,831.4
43.9,9872,101.3,204.7,285.1,675.3
44.0,9577,103.1,212.6,303.6,612.9
44.1,9437,104.7,217.3,318.5,1145.7
44.2,8986,108.6,234.7,331.4,652.9
44.3,9182,110.2,211.9,301.1,599.2
44.4,8988,111.0,219.9,313.3,635.5
44.5,9830,101.7,203.6,288.5,683.1
44.6,9716,103.4,204.2,287.2,580.7
44.7,9529,104.8,209.2,289.4,506.0
44.8,9855,99.1,214.4,286.7,628.7
44.9,9749,102.7,203.8,279.7,2406.6
